fn,firstSentence,confidence
Indobit-A-NYT1980_501-904-68.txt," Argentina, Oct. 26 (UPI) - Victor Galindez, the World Boxing Association light-heavyweight champion between 1974 and 1979"
Indobit-A-NYT1985 - July 1 - Sep 30-59.txt," a former partner in the law firm of Breed, Abbott & Morgan"
Indobit-A-NYT1990_January to June_1-500-420.txt," a former chairman of Hercules Inc., the chemical aerospace company"
Indobit-A-NYT2001 - July 1 - Sep 30-112.txt, a prominent Oregon Republican who was ambassador to Romania under former President George Bush
Indobit-A-NYT2007 - Oct 1 - Dec 31-246.txt, the singer and songwriter whose hits ''Leader of the Band'' and ''Same Old Lang Syne'' helped define the soft-rock era
Indobit-A-NYT1985 - Jan 1 - March 31-214.txt, a retired professor of civil engineering at Columbia University who helped design the Palomar and Mount Wilson Observatories
Indobit-A-NYT1992_1-500-137.txt," a professor emeritus of microbiology at New York Medical College in Valhalla, N.Y."
Indobit-A-NYT2007 - April 1 - June 30-163.txt, a pioneer of the modern studio pottery movement known for the lightness of her forms
Indobit-A-NYT1987 - April 1 - June 30-326.txt, an expert on the Soviet Union who did detailed studies of leaders and policies for the United States Government
Indobit-A-NYT1984_1001-1500-174.txt, who was active in Nassau County Republican politics for nearly 40 years
Indobit-A-NYT2004_1-500-193.txt," the big-voiced soul singer of the 1963 hit ''Just One Look,'' whose life story was the inspiration for the long-running musical ''Mama, I Want to Sing"
Indobit-A-NYT1983 - Jan 1 - March 31-337.txt, who played the outfield for the New York Giants and four other clubs during an eight-year major league career
Indobit-A-NYT2010_1-500-264.txt, a velvet-caped professional wrestling bad guy who enraged fans with his use of foreign objects and other sneaky tactics
Indobit-A-NYT1994_1001-1500-50.txt, the commander of Israel's naval forces in the 1960's
Indobit-A-NYT1989 - Jan 1 - Feb 28-222.txt," Ill. Jethro Burns, the mandolin-playing partner in the Homer and Jethro country music team, whose cornball humor and musical talents won the duo a Grammy Award"
Indobit-A-NYT1983 - Jan 1 - March 31-436.txt, a businessman and major figure in Republican politics in Massachusetts
Indobit-A-NYT1981 - Oct 1 - Dec 31-30.txt, former professor and chairman of the department of anesthesiology at New York Medical College and Flower Fifth Avenue Hospital
Indobit-A-NYT1995 - March 1 - April 30-137.txt, considered a leading candidate to become Speaker of a new Northern Ireland assembly
Indobit-A-NYT1997 - Oct 1 - Dec 31-251.txt, who earned a huge following in the French-speaking world for her melancholic lyrics and melodies
Indobit-A-NYT2009 - April 1 - June 30-108.txt, the manager who led the Philadelphia Phillies to three consecutive National League East titles but fell short of the World Series each time
Indobit-A-NYT1992_1501-2000-43.txt, a film director known for his samurai movies
Indobit-A-NYT1983 - Oct 1 - Dec 31-114.txt," former chairman of the Rite-Aid Corporation, the drugstore chain"
Indobit-A-NYT2008_501-1000-145.txt, La.
Indobit-A-NYT1992_501-1000-53.txt, a benefactor of educational institutions
Indobit-A-NYT1985 - April 1 - June 30-326.txt, a professor at the University of Washington School of Law
Indobit-A-NYT1996_1001-1500-257.txt," who created the Country Bear Jamboree, Pirates of the Caribbean and other attractions at Disneyland"
Indobit-A-NYT1985 - April 1 - June 30-68.txt," the widow of John N. Wheeler, a newspaper syndicate executive who retired as chairman of the North American Newspaper Alliance"
Indobit-A-NYT1994_1501-2000-471.txt, who spent more than three decades enforcing the rule of the Patriarca crime family in New England
Indobit-A-NYT1984_1-500-43.txt, an early American modernist painter and one of the founders of the American Abstract Artists group
Indobit-A-NYT1994_1501-2000-480.txt," a co-founder of the Oracle Corporation, a leading supplier of database software"
Indobit-A-NYT1995 - March 1 - April 30-20.txt, a figurative painter
Indobit-A-NYT2007 - July 1 - Sep 30-23.txt," a science fiction and fantasy writer best known for his ''Berserker'' series, about intelligent machines out to destroy the human race"
Indobit-A-NYT1995 - May 1 - June 30-122.txt, a writer whose stories appeared in numerous magazines
Indobit-A-NYT1980_1-500-367.txt," Aug. 30 Anthony Giordano, 67 years old"
Indobit-A-NYT1996_1001-1500-361.txt, the police commander who played a key role in the 1973 coup led by Gen. Augusto Pinochet
Indobit-A-NYT1987 - July 1 - Aug 31-289.txt, Italy's trade commissioner in New York from 1982 to 1985
Indobit-A-NYT1985 - Oct 1 - Dec 31-5.txt, one of two plaintiffs in an unsuccessful suit to bar New York City from giving public-school children time off for religious instruction
Indobit-A-NYT1991 - Nov 1 - Dec 31-272.txt, a retired associate general counsel with the Metropolitan Life Insurance Company
Indobit-A-NYT2006_1001-1372-106.txt," whose ferocious drumming fueled the influential all-female 70's rock band the Runaways, which she founded with Joan Jett"
Indobit-A-NYT1992_501-1000-388.txt, a chemist and educator
Indobit-A-NYT2013-April 1 - June 30-152.txt, Robert
Indobit-A-NYT1995 - July 1 - Aug 31-351.txt, one of Britain's most popular newspaper cartoonists
Indobit-A-NYT1990_July to December_1001-1500-210.txt, a third-generation race car driver whose grandfather was killed while leading the Indianapolis 500 in 1955
Indobit-A-NYT1984_1001-1500-288.txt," Fla., Oct. 31 Harry J. Chaloner, America's oldest veteran"
Indobit-A-NYT1996_1-500-210.txt," who wrote, produced and directed the hit film ""The Gods Must Be Crazy"
Indobit-A-NYT1995 - March 1 - April 30-141.txt,
Indobit-A-NYT2003 - Jan 1 - March 31-218.txt, a well-known French chef and restaurateur
Indobit-A-NYT1999 - Jan 1 - March 31-277.txt, a businessman who served as chairman of the board of the Brooklyn Academy of Music from 1971 to 1976
Indobit-A-NYT1988_1-500-310.txt, an executive of the International Business Machines Corporation who spent nearly 30 years helping to prepare a computerized index of the writings of St. Thomas Aquinas
Indobit-A-NYT1991 - Aug 1 - Aug 31-137.txt, associate director of residency training at the Bronx Psychiatric Center
Indobit-A-NYT1996_1001-1500-266.txt, the United States' first black woman to win an Olympic medal
Indobit-A-NYT1989 - Sep 1 - Oct 31-51.txt, retired director of economics and statistics of the Wool Bureau
Indobit-A-NYT1999 - July 1 - Sep 30-283.txt, a key player on the 1995 Northwestern football team that competed in the Rose Bowl
Indobit-A-NYT1999 - Jan 1 - March 31-11.txt, who successfully sued a nationwide tabloid for publishing her photograph with a fictitious article
Indobit-A-NYT1993 - Nov 1 - Dec 31-26.txt, an expert on sales and retail franchises
Indobit-A-NYT1992_2001-2402-17.txt, an avant-garde film maker
Indobit-A-NYT1986_501-1000-381.txt," Chief Minister of KwaNdebele, who dropped plans to accept nominal independence for his black homeland after scores were killed in violence"
Indobit-A-NYT2002_1-500-455.txt," the woman once known as Linda Lovelace, who starred in one of the first feature-length pornography movies, ""Deep Throat,"" and who later denounced it as depicting her ""rape"
Indobit-A-NYT1986_501-1000-164.txt, a child star of the early silent screen
Indobit-A-NYT1991 - Sep 1 - Oct 31-225.txt, a veteran of more than 200 films who gave Jane Wyman what was in 1941 Hollywood's longest screen kiss
Indobit-A-NYT1981 - April 1 - June 30-7.txt, who conceived and edited a pocket-sized magazine that as Reader's Digest became the most widely read magazine in the world
Indobit-A-NYT1994_1001-1500-426.txt, an entrepreneur who founded the first company to transport horses by airplane
Indobit-A-NYT1983 - July 1 - Sep 30-178.txt, a noted movie director whose films depicted the brutality of war
Indobit-A-NYT1989 - July 1 - Aug 31-255.txt, considered the inspiration for the character of the same name portrayed by Bing Crosby in the movies ''Going My Way'' and ''The Bells of St. Mary's
Indobit-A-NYT1980_501-904-220.txt, an Amateur Athletic Union national 10- and 15-mile champion in the 1920's
Indobit-A-NYT1983 - July 1 - Sep 30-256.txt,
Indobit-A-NYT1984_1001-1500-25.txt," a retired Bishop of the Episcopal Diocese of Maryland, an activist in religious programs and civil rights"
Indobit-A-NYT1989 - May 1 - June 30-4.txt, a retired professor of fine arts at Indiana University and the first director of its art museum
Indobit-A-NYT2000_1001-1500-500.txt, who was acquitted in the nation's longest-running case of child molestation
Indobit-A-NYT1981 - April 1 - June 30-342.txt, a science-fiction writer and electronics engineer
Indobit-A-NYT1989 - Jan 1 - Feb 28-49.txt, chairman of the radiology department of the Catholic Medical Center of Brooklyn and Queens
Indobit-A-NYT1990_July to December_1001-1500-440.txt, a professor of classics at Vassar College for 32 years
Indobit-A-NYT2009 - July 1 - Sep 30-134.txt," Ontario Ted Kennedy, who captained the Toronto Maple Leafs to five Stanley Cups during a career that put him in the Hall of Fame"
Indobit-A-NYT1993 - March 1 - April 30-43.txt, a writer who made his directing and acting debut in a highly acclaimed film about coping with AIDS
Indobit-A-NYT2001 - Jan 1 - March 31-163.txt," whose billiards play was said to have inspired the book and movie ""The Hustler"
Indobit-A-NYT2015- April 1 - June 30-132.txt," who played Captain Kirk's assistant, Yeoman Janice Rand, on the original ''Star Trek'' series"
Indobit-A-NYT1985 - July 1 - Sep 30-251.txt, a former halfback who was one of the leading career rushers for the University of Nebraska
Indobit-A-NYT2011-Jan 1 - March 31-217.txt, death
Indobit-A-NYT1989 - Sep 1 - Oct 31-320.txt, wife of the head of state
Indobit-A-NYT1987 - April 1 - June 30-287.txt, the first American living in Britain to enlist in the United States Army in World War II
Indobit-A-NYT1990_July to December_501-1000-49.txt,
Indobit-A-NYT1986_1001-1500-212.txt, political director of the Republican State Central Committee and a former State Agriculture Commissioner
Indobit-A-NYT1987 - Nov 1 - Dec 31-27.txt, a French film director and co-founder of the Cinematheque Francaise
Indobit-A-NYT1981 - April 1 - June 30-454.txt, a painter who operated coffee houses in Greenwich Village
Indobit-A-NYT1985 - July 1 - Sep 30-74.txt, an authority on copyright law who represented many leading entertainers
Indobit-A-NYT1993 - Nov 1 - Dec 31-377.txt, creator of a popular picante sauce
Indobit-A-NYT1991 - May 1 - May 31-168.txt, a retired Army colonel who vigorously opposed attempts to rename a national monument dedicated to his great-granduncle
Indobit-A-NYT1992_2001-2402-27.txt, a decorated soldier who often clashed with colleagues over his hawkish views
Indobit-A-NYT1985 - Oct 1 - Dec 31-172.txt, a former Indian Trade Commissioner to the United States and Canada
Indobit-A-NYT2008_501-1000-426.txt," I will no longer be there,'' the voice, characteristically spirited, confident, just a little bit cheeky and familiar to all of France"
Indobit-A-NYT1995 - May 1 - June 30-304.txt, a starting linebacker last season for the San Diego Chargers
Indobit-A-NYT1993 - March 1 - April 30-118.txt, a singer who appeared on television variety shows from the 1950's through the 1970's
Indobit-A-NYT1986_1-500-252.txt, one of the physicists associated with Robert Oppenheimer in the development of the atomic bomb
Indobit-A-NYT2003 - Oct 1 - Dec 31-314.txt,
Indobit-A-NYT1992_1001-1500-356.txt, who as Japan's Justice Minister helped bring down Prime Minister Kakuei Tanaka in the Lockheed bribery scandal of 1976
Indobit-A-NYT1981 - Jan 1 - March 31-235.txt, briefly Prime Minister of Egypt under King Farouk
Indobit-A-NYT1984_1001-1500-295.txt, former provincial director of the Religious of the Sacred Heart of Mary
Indobit-A-NYT2008_1-500-288.txt, one of the group known as Young British Artists
Indobit-A-NYT1981 - Jan 1 - March 31-294.txt, a dance and theater photographer
Indobit-A-NYT2009 - April 1 - June 30-28.txt," who through the popular game he helped create, Dungeons & Dragons, spawned a new form of interpersonal entertainment that has captivated millions"
Indobit-A-NYT1987 - Nov 1 - Dec 31-113.txt," a composer of works for children, college students and television"
Indobit-A-NYT1989 - July 1 - Aug 31-272.txt, professor emeritus of Balkan languages and cultures at Columbia University
Indobit-A-NYT1987 - April 1 - June 30-26.txt, a screenwriter who received Academy Award nominations for his scripts for ''The Gunfighter'' (1950) and ''The Sheepman'' (1958)
