c,p,r,rev,y
Cerro,2.8,272.0,425.2,1978
Flintkote,13.8,273.0,423.1,1978
AM International,2.4,274.0,412.3,1978
Timken,38.1,275.0,410.6,1978
Richardson-Vicks,29.8,276.0,408.5,1978
Admiral,-0.9,277.0,406.7,1978
Pennwalt Corp,13.1,278.0,405.5,1978
Levi Strauss,19.4,279.0,405.1,1978
McGraw-Hill,19.8,280.0,404.9,1978
Hoover,21.7,281.0,402.3,1978
Coastal,36.7,282.0,402.0,1978
Hershey Foods,20.5,283.0,401.9,1978
Revlon,34.3,284.0,394.1,1978
Tecumseh Products,18.4,285.0,387.9,1978
MacMillan,10.3,286.0,386.6,1978
Heublein,20.2,287.0,385.5,1978
Kelsey-Hayes,6.0,288.0,384.5,1978
Gold Kist Holdings,N.A.,289.0,381.2,1978
Bemis,6.9,290.0,376.7,1978
"Libby, McNeill & Libby",12.5,291.0,375.8,1978
Hewlett-Packard,23.9,292.0,375.1,1978
Lone Star Industries,18.9,293.0,374.8,1978
Warner Communications,41.6,294.0,373.8,1978
Hartmarx,10.3,295.0,372.0,1978
Hammermill Paper,4.6,296.0,370.3,1978
American Beef Packers,0.2,297.0,364.6,1978
Allied Mills,3.1,298.0,359.8,1978
Mattel,17.4,299.0,357.9,1978
Figgie International,7.6,300.0,357.7,1978
US Pharmaceuticals,44.9,301.0,357.2,1978
CBI Industries,29.7,302.0,355.8,1978
Great Northern Nekoosa,14.2,303.0,355.5,1978
Apogent Technologies,17.5,304.0,355.4,1978
WestPoint Stevens,6.2,305.0,355.2,1978
Mohasco,11.3,306.0,354.3,1978
Potlatch,1.2,307.0,354.0,1978
Outboard Marine,23.0,308.0,353.3,1978
Metromedia International,10.1,309.0,352.4,1978
Interlake,12.5,310.0,352.1,1978
Harris,14.9,311.0,352.0,1978
Fedders,19.0,312.0,351.9,1978
Purex Industries,10.7,313.0,351.5,1978
GK Technologies,16.4,314.0,348.0,1978
Norton,11.4,315.0,346.6,1978
Campbell Taggart,10.7,316.0,345.7,1978
Thiokol,21.8,317.0,345.6,1978
Dairylea Cooperative,N.A.,318.0,345.0,1978
Gould,14.3,319.0,342.2,1978
R.R. Donnelley & Sons,24.4,320.0,340.0,1978
Rexnord,11.5,321.0,339.1,1978
Cyclops Industries,4.2,322.0,338.8,1978
UV Industries,4.5,323.0,337.1,1978
National Service Industries,20.1,324.0,335.8,1978
Rohr,4.6,325.0,335.6,1978
Fairmont Foods,5.8,326.0,335.4,1978
Revere Copper & Brass,1.5,327.0,335.0,1978
Staley Continental,5.4,328.0,333.9,1978
ACF Industries,15.8,329.0,332.7,1978
Certainteed,15.1,330.0,331.7,1978
I-T-E Imperial,14.8,331.0,330.7,1978
Hygrade Food Products,10.2,332.0,330.5,1978
American Bakeries,-2.0,333.0,330.1,1978
GATX,38.3,334.0,330.1,1978
General Host,7.7,335.0,329.6,1978
Bell & Howell,13.5,336.0,329.5,1978
Inmont,5.8,337.0,328.2,1978
MCA,16.7,338.0,326.1,1978
Champion Spark Plug,34.9,339.0,325.9,1978
Springs Industries,9.3,340.0,325.6,1978
U.S. Shoe,10.9,341.0,324.2,1978
Cannon Mills,16.8,342.0,323.5,1978
Kane-Miller,2.9,343.0,322.9,1978
Miles Laboratories,5.0,344.0,321.8,1978
Saxon Industries,-0.2,345.0,319.6,1978
Cone Mills,6.2,346.0,319.1,1978
Harsco,16.2,347.0,318.8,1978
Reliance Electric,10.7,348.0,315.7,1978
Simmons,10.5,349.0,313.4,1978
Anchor Hocking,19.2,350.0,312.4,1978
Dan River,-2.6,351.0,312.4,1978
Dayco,5.3,352.0,312.4,1978
Pabst Brewing,25.3,353.0,312.0,1978
Carborundum,12.5,354.0,311.4,1978
Thomas J. Lipton,18.6,355.0,308.7,1978
Air Products & Chem.,16.3,356.0,307.7,1978
ESB,12.0,357.0,306.2,1978
Pitney Bowes,11.3,358.0,304.7,1978
MBPXL,1.9,359.0,304.0,1978
Stanley Works,15.3,360.0,303.7,1978
Chesebrough-Pond's,23.4,361.0,302.1,1978
Jonathan Logan,17.5,362.0,301.5,1978
Joy Technologies,15.5,363.0,300.9,1978
NVF,5.3,364.0,300.4,1978
Avnet,12.4,365.0,296.2,1978
Kendall,11.5,366.0,294.4,1978
Blue Bell,13.3,367.0,293.9,1978
Eastern Gas & Fuel Associates,16.9,368.0,291.4,1978
New York Times,9.5,369.0,290.9,1978
Ampex,-12.0,370.0,290.9,1978
Collins Radio,-46.6,371.0,287.5,1978
Black & Decker,22.0,372.0,286.7,1978
Questor,11.5,373.0,286.4,1978
Ex-Cell-O,6.3,374.0,284.3,1978
Insilco,10.4,375.0,283.1,1978
Kellwood,5.9,376.0,282.7,1978
Rockwell Manufacturing,12.6,377.0,281.6,1978
Chemetron,2.0,378.0,281.6,1978
Rath Packing,7.3,379.0,281.0,1978
Stokely-Van Camp,6.6,380.0,280.9,1978
Howmet,13.2,381.0,280.3,1978
Interstate Brands,5.2,382.0,277.4,1978
Amsted Industries,9.4,383.0,276.6,1978
Square D,30.2,384.0,276.4,1978
VF,14.7,385.0,276.1,1978
Bangor Punta,2.3,386.0,275.2,1978
FINA,13.1,387.0,274.6,1978
ConAgra Foods,3.0,388.0,272.6,1978
Norris Industries,15.7,389.0,272.4,1978
Knight-Ridder,16.1,390.0,271.4,1978
Talley Industries,5.8,391.0,270.6,1978
Federal-Mogul,3.3,392.0,269.6,1978
Premcor,3.6,393.0,267.0,1978
General Instrument,4.7,394.0,267.0,1978
Cabot,17.7,395.0,265.4,1978
Curtiss-Wright,1.5,396.0,262.0,1978
Gerber Products,18.5,397.0,261.9,1978
Warnaco Group,6.9,398.0,261.4,1978
Armour-Dial,15.8,399.0,259.5,1978
McLouth Steel,-8.9,400.0,259.1,1978
Witco,10.8,401.0,259.1,1978
Trane,16.7,402.0,258.9,1978
Grolier,11.6,403.0,256.5,1978
Commonwealth Oil Refining,16.2,404.0,255.6,1978
Becton Dickinson,16.5,405.0,255.4,1978
Trans Union,29.1,406.0,254.8,1978
H.K. Porter,2.6,407.0,253.6,1978
Fairchild Industries,6.6,408.0,253.3,1978
Skyline,14.4,409.0,252.4,1978
Flavorland Industries,1.4,410.0,252.1,1978
Tyco Laboratories,1.4,411.0,250.9,1978
Hoerner Waldorf,11.7,412.0,250.9,1978
Congoleum,12.1,413.0,250.6,1978
Robertson-Ceco,6.4,414.0,250.6,1978
Sundstrand,4.7,415.0,250.3,1978
Peter Eckrich & Sons,5.9,416.0,243.5,1978
Midland-Ross,6.5,417.0,243.0,1978
Cincinnati Milacron,1.7,418.0,242.2,1978
Baxter International,18.2,419.0,242.1,1978
Green Giant,5.2,420.0,241.4,1978
Maremont,5.2,421.0,241.1,1978
Vulcan Materials,9.7,422.0,240.6,1978
Hobart,14.6,423.0,240.2,1978
Cutler-Hammer,7.3,424.0,240.2,1978
Koehring,3.8,425.0,239.9,1978
AMP,25.0,426.0,239.6,1978
Collins & Aikman,12.4,427.0,239.2,1978
Diversified Industries,-3.4,428.0,238.0,1978
Phillips-Van Heusen,4.4,429.0,237.8,1978
Gannett,19.7,430.0,236.6,1978
Emhart,14.8,431.0,236.3,1978
Great Western United,N.A.,432.0,234.1,1978
Columbia Pictures Industries,-28.8,433.0,233.3,1978
Signode,13.7,434.0,232.8,1978
Eagle-Picher Industries,10.2,435.0,227.8,1978
F. & M. Schaefer,4.3,436.0,227.3,1978
Fieldcrest Cannon,10.6,437.0,227.3,1978
G.D. Searle,36.0,438.0,226.9,1978
Bunker Ramo,4.3,439.0,224.7,1978
National Homes,9.7,440.0,222.2,1978
Penn-Dixie Industries,1.9,441.0,222.1,1978
Spencer Foods,-0.9,442.0,219.7,1978
Texasgulf,20.6,443.0,217.7,1978
Monfort of Colorado,0.8,444.0,217.6,1978
Household Manufacturing,6.8,445.0,217.6,1978
General Signal,10.5,446.0,216.5,1978
Thiokol,7.0,447.0,215.7,1978
Southwest Forest Industries,5.7,448.0,214.6,1978
Hyster,9.8,449.0,214.4,1978
DeSoto,4.5,450.0,214.0,1978
Roper,5.4,451.0,212.6,1978
Brockway,13.3,452.0,209.6,1978
Commercial Metals,1.5,453.0,207.2,1978
Masonite,20.0,454.0,206.7,1978
Johnson Service,9.7,455.0,205.3,1978
Cooper Industries,2.6,456.0,205.0,1978
Ceco Industries,8.0,457.0,204.9,1978
Sheller-Globe,5.0,458.0,204.0,1978
Cyprus Amax Minerals,27.8,459.0,203.2,1978
Farmers Union Central Exchange,N.A.,460.0,203.2,1978
Houdaille Industries,8.4,461.0,201.2,1978
Keystone Consolidated Industries,-0.8,462.0,199.0,1978
Inland Container,4.8,463.0,198.5,1978
Lubrizol,23.4,464.0,197.6,1978
Newmont Mining,54.5,465.0,197.5,1978
Rheingold,4.0,466.0,197.4,1978
Hanna Mining,29.6,467.0,197.1,1978
Easco,2.8,468.0,196.4,1978
Parker Hannifin,6.7,469.0,194.4,1978
St. Joe Minerals,19.6,470.0,194.4,1978
Reichhold Chemicals,3.6,471.0,194.2,1978
Willamette Industries,12.5,472.0,194.2,1978
Republic,-45.0,473.0,194.0,1978
Allied Products,3.1,474.0,193.8,1978
Automation Industries,2.2,475.0,193.7,1978
Fairchild Camera & Instrument,-7.8,476.0,193.1,1978
Arcata,-10.5,477.0,193.0,1978
Washington Post,11.8,478.0,192.7,1978
Max Factor,17.4,479.0,192.4,1978
Gardner-Denver,20.8,480.0,191.4,1978
Wean United,-2.6,481.0,190.4,1978
Riegel Paper,2.0,482.0,190.0,1978
Wm. Wrigley Jr.,17.2,483.0,189.9,1978
Keebler,3.2,484.0,188.9,1978
Varian Associates,-6.7,485.0,187.2,1978
Briggs & Stratton,15.2,486.0,186.2,1978
Interpace,7.0,487.0,185.8,1978
Fibreboard,3.8,488.0,185.1,1978
Bucyrus-Erie,11.9,489.0,184.7,1978
Western Publishing Group,6.9,490.0,184.6,1978
Cenco,9.5,491.0,181.8,1978
Arvin Industries,5.6,492.0,181.6,1978
Nalco Chemical,17.1,493.0,180.9,1978
Crown Central,0.7,494.0,179.0,1978
Purolator,9.6,495.0,178.4,1978
American Chain & Cable,-6.0,496.0,177.9,1978
Ideal Basic Industries,17.4,497.0,177.1,1978
Matan Industries,2.6,498.0,177.0,1978
Hoover Universal,7.2,499.0,176.2,1978
Hanes,3.4,500.0,176.1,1978
General Motors,2162.8,1.0,30435.2,1979
Exxon Mobil,1531.8,2.0,20309.8,1979
Ford Motor,870.0,3.0,20194.4,1979
General Electric,530.0,4.0,10239.5,1979
Chrysler,220.5,5.0,9759.1,1979
Intl. Business Machines,1279.3,6.0,9532.6,1979
Mobil,574.2,7.0,9166.3,1979
Texaco,889.0,8.0,8693.0,1979
ITT Industries,483.3,9.0,8556.8,1979
AT&T Technologies,282.9,10.0,6551.2,1979
Gulf Oil,197.0,11.0,6243.0,1979
ChevronTexaco,547.1,12.0,5829.5,1979
U.S. Steel,157.0,13.0,5401.8,1979
CBS,198.7,14.0,5086.6,1979
Amoco,374.7,15.0,4503.4,1979
DuPont,414.5,16.0,4365.9,1979
Shell Oil,260.5,17.0,4075.9,1979
Goodyear Tire & Rubber,193.2,18.0,4071.5,1979
RCA,158.1,19.0,3838.2,1979
Procter & Gamble,276.3,20.0,3514.4,1979
LTV,8.8,21.0,3514.2,1979
Navistar International,86.6,22.0,3493.3,1979
Eastman Kodak,546.2,23.0,3477.8,1979
Conoco,170.2,24.0,3415.0,1979
Atlantic Richfield,195.6,25.0,3320.8,1979
Tenneco Automotive,203.0,26.0,3275.4,1979
Union Carbide,205.2,27.0,3261.3,1979
Esmark,37.0,28.0,3240.9,1979
Kraft,88.3,29.0,3196.8,1979
Bethlehem Steel,134.6,30.0,3113.6,1979
Greyhound,66.8,31.0,2903.6,1979
McDonnell Douglas,111.7,32.0,2725.7,1979
Firestone Tire & Rubber,135.8,33.0,2691.0,1979
Caterpillar,206.4,34.0,2602.2,1979
Litton Industries,1.1,35.0,2558.5,1979
ConocoPhillips,148.4,36.0,2512.7,1979
Occidental Petroleum,10.4,37.0,2487.2,1979
Lockheed Martin,16.2,38.0,2472.7,1979
General Foods,66.2,39.0,2423.8,1979
Xerox,249.5,40.0,2419.1,1979
Dow Chemical,189.2,41.0,2403.7,1979
Beatrice,77.9,42.0,2384.4,1979
Boeing,30.4,43.0,2369.6,1979
Rockwell Automation,86.1,44.0,2362.9,1979
Sealed Air,63.5,45.0,2315.1,1979
Monsanto,122.0,46.0,2225.4,1979
Singer,87.5,47.0,2217.5,1979
Borden Chemical,66.0,48.0,2192.9,1979
Continental Group,-39.3,49.0,2192.7,1979
Honeywell,82.3,50.0,2125.4,1979
3M,244.4,51.0,2114.1,1979
Unocal,121.9,52.0,2098.2,1979
International Paper,102.7,53.0,2093.3,1979
Nabisco Group Holdings,237.5,54.0,2072.3,1979
Rapid-American,25.6,55.0,2044.8,1979
United Technologies,50.6,56.0,2023.8,1979
American Can,-50.7,57.0,2015.5,1979
Georgia-Pacific,128.5,58.0,1929.1,1979
Sunoco,154.7,59.0,1918.0,1979
ARMCO,75.6,60.0,1910.8,1979
Coca-Cola,190.2,61.0,1876.2,1979
Champion International,59.5,62.0,1871.7,1979
Citgo Petroleum,112.1,63.0,1862.1,1979
Ralston Purina,58.2,64.0,1833.4,1979
Sperry,60.8,65.0,1823.9,1979
Burlington Industries Equity,49.6,66.0,1816.1,1979
Colgate-Palmolive,67.5,67.0,1807.6,1979
Sara Lee,63.8,68.0,1799.8,1979
Uniroyal,46.7,69.0,1798.9,1979
Ashland,68.3,70.0,1780.0,1979
Bendix,56.4,71.0,1776.5,1979
Alcoa,102.8,72.0,1753.0,1979
Fortune Brands,123.3,73.0,1734.3,1979
OfficeMax,-170.6,74.0,1710.3,1979
TRW,76.1,75.0,1687.5,1979
Textron,82.1,76.0,1678.4,1979
Weyerhaeuser,158.1,77.0,1675.9,1979
Gulf & Western Industries,69.4,78.0,1669.7,1979
Chiquita Brands Intl.,17.7,79.0,1668.3,1979
National Intergroup,71.2,80.0,1660.2,1979
Owens-Illinois,69.0,81.0,1636.3,1979
Bestfoods,86.6,82.0,1607.4,1979
Republic Steel,43.1,83.0,1595.7,1979
Wyeth,175.4,84.0,1587.1,1979
U.S. Industries,80.7,85.0,1578.5,1979
NCR,-59.6,86.0,1557.7,1979
General Dynamics,24.3,87.0,1539.4,1979
Goodrich,49.0,88.0,1506.8,1979
Honeywell Intl.,66.0,89.0,1501.0,1979
Deere,112.2,90.0,1500.2,1979
FMC,49.1,91.0,1497.7,1979
Warner-Lambert,122.7,92.0,1487.5,1979
Ryerson Tull,65.9,93.0,1469.8,1979
Raytheon,37.9,94.0,1465.0,1979
BP America,57.5,95.0,1446.6,1979
Signal Companies,40.5,96.0,1438.2,1979
Whirlpool,68.2,97.0,1416.3,1979
Altria Group,124.5,98.0,1408.3,1979
Genesco,8.9,99.0,1405.8,1979
Getty Oil,81.2,100.0,1405.3,1979
American Motors,30.2,101.0,1403.8,1979
CBS,82.9,102.0,1403.2,1979
PepsiCo,71.7,103.0,1400.1,1979
PPG Industries,82.7,104.0,1395.9,1979
Celanese,43.9,105.0,1384.8,1979
American Cyanamid,108.8,106.0,1358.9,1979
Amerada Hess,26.0,107.0,1333.5,1979
American Standard,25.2,108.0,1320.6,1979
Johnson & Johnson,120.7,109.0,1317.7,1979
General Mills,45.4,110.0,1316.3,1979
Iowa Beef Processors,7.4,111.0,1284.7,1979
BorgWarner,59.5,112.0,1283.2,1979
Marathon Oil,79.8,113.0,1277.6,1979
Olin,-52.1,114.0,1250.9,1979
Carnation,55.9,115.0,1249.3,1979
Eaton,70.4,116.0,1223.1,1979
Teledyne,57.4,117.0,1216.0,1979
Nabisco Brands,54.4,118.0,1214.9,1979
Bristol-Myers Squibb,83.9,119.0,1201.2,1979
Combustion Engineering,23.3,120.0,1179.9,1979
Standard Brands,44.0,121.0,1169.0,1979
Motorola,52.0,122.0,1163.3,1979
Reynolds Metals,0.2,123.0,1162.2,1979
H.J. Heinz,42.3,124.0,1153.8,1979
Kennecott,47.4,125.0,1145.3,1979
Mead,17.6,126.0,1128.8,1979
Crown Zellerbach,35.0,127.0,1112.9,1979
Norton Simon,50.5,128.0,1108.8,1979
GenCorp,73.9,129.0,1093.5,1979
Pfizer,103.2,130.0,1093.4,1979
Campbell Soup,59.6,131.0,1086.2,1979
Ogden,19.3,132.0,1073.1,1979
Associated Milk Producers,N.A.,133.0,1070.5,1979
Martin Marietta,53.5,134.0,1046.8,1979
Unisys,87.5,135.0,1040.2,1979
NL Industries,36.8,136.0,1013.7,1979
St. Regis,41.3,137.0,1013.1,1979
Anaconda,133.0,138.0,1011.6,1979
Kimberly-Clark,55.6,139.0,1010.5,1979
Avon Products,124.9,140.0,1005.3,1979
Lykes,25.6,141.0,998.5,1979
Kaisertech,15.1,142.0,990.8,1979
Furniture Brands Intl.,37.7,143.0,981.1,1979
Anheuser-Busch,72.3,144.0,977.5,1979
Whitman,52.6,145.0,960.7,1979
Allis-Chalmers,8.7,146.0,960.3,1979
Merck,147.6,147.0,958.3,1979
J.P. Stevens,5.8,148.0,957.7,1979
Babcock & Wilcox,24.4,149.0,955.9,1979
Texas Instruments,48.0,150.0,943.7,1979
White Motor,8.6,151.0,943.3,1979
Evans Products,28.4,152.0,938.0,1979
Hercules,70.4,153.0,932.0,1979
Squibb,72.0,154.0,925.9,1979
AMF,55.4,155.0,924.3,1979
Safety-Kleen,0.2,156.0,917.8,1979
Central Soya,16.2,157.0,911.2,1979
Dresser Industries,38.9,158.0,906.9,1979
Clark Equipment,40.3,159.0,897.6,1979
Dart Industries,54.5,160.0,888.1,1979
Walter Industries,44.6,161.0,881.7,1979
Studebaker-Worthington,31.3,162.0,879.4,1979
Ingersoll-Rand,60.1,163.0,872.0,1979
Gillette,75.0,164.0,870.5,1979
American Broadcasting,35.6,165.0,869.4,1979
AMAX,66.2,166.0,863.1,1979
Crane,14.5,167.0,844.4,1979
Otis Elevator,28.3,168.0,839.1,1979
Kidde,32.4,169.0,832.4,1979
Dana,44.8,170.0,822.1,1979
Del Monte Foods,23.3,171.0,820.6,1979
Eli Lilly,126.3,172.0,819.7,1979
Asarco,49.1,173.0,814.3,1979
Scott Paper,38.6,174.0,813.8,1979
Manville,49.3,175.0,796.3,1979
Zenith Electronics,48.6,176.0,795.9,1979
United Merchants & Mfrs.,15.3,177.0,787.0,1979
Quantum Chemical,35.0,178.0,781.5,1979
Quaker Oats,34.2,179.0,771.2,1979
Pet,16.3,180.0,770.2,1979
GAF,27.7,181.0,768.5,1979
Phelps Dodge,82.2,182.0,765.8,1979
Emerson Electric,63.6,183.0,764.7,1979
Pullman,17.8,184.0,758.7,1979
Land O'Lakes,N.A.,185.0,748.4,1979
Carrier,32.3,186.0,739.4,1979
McGraw-Edison,38.3,187.0,737.7,1979
Farmland Industries,N.A.,188.0,735.2,1979
White Consolidated Industries,30.2,189.0,728.1,1979
Sterling Drug,69.0,190.0,720.8,1979
Hormel Foods,7.8,191.0,719.8,1979
Pillsbury,16.9,192.0,717.8,1979
Corning,54.3,193.0,714.6,1979
Oscar Mayer,16.0,194.0,712.3,1979
Coltec Industries,16.3,195.0,707.3,1979
Agway,N.A.,196.0,701.0,1979
Kellogg,60.5,197.0,699.2,1979
Essex International,37.1,198.0,696.4,1979
Magnavox,17.6,199.0,686.0,1979
Armstrong Holdings,41.8,200.0,684.5,1979
Grumman,-70.0,201.0,683.5,1979
Kerr-McGee,50.6,202.0,679.6,1979
Archer Daniels Midland,11.3,203.0,675.9,1979
Budd,17.6,204.0,670.8,1979
Fruit of the Loom,51.0,205.0,665.1,1979
Whittaker,7.0,206.0,665.0,1979
Control Data,62.4,207.0,663.7,1979
Heublein,19.4,208.0,662.9,1979
Sherwin-Williams,18.2,209.0,658.3,1979
USG,49.1,210.0,652.1,1979
Amstar,16.6,211.0,650.6,1979
Ikon Office Solutions,12.5,212.0,646.7,1979
Brunswick,34.8,213.0,633.8,1979
Ethyl,49.2,214.0,631.6,1979
North American Philips,25.4,215.0,631.3,1979
Cerro,17.7,216.0,622.2,1979
J.E. Seagram,23.1,217.0,620.0,1979
Rohm & Haas,46.4,218.0,618.6,1979
Maxus Energy,33.3,219.0,617.3,1979
Time Warner,22.4,220.0,616.6,1979
Owens Corning,35.8,221.0,615.3,1979
Koppers,23.1,222.0,612.8,1979
Jos. Schlitz Brewing,37.5,223.0,611.3,1979
Anderson Clayton,17.0,224.0,609.4,1979
Wheeling Pittsburgh,15.2,225.0,607.8,1979
Avco,43.2,226.0,607.0,1979
General Host,3.4,227.0,607.0,1979
Times Mirror,42.0,228.0,605.2,1979
Diamond International,37.8,229.0,603.5,1979
Union Camp,38.8,230.0,601.6,1979
Liggett Group,31.3,231.0,598.2,1979
Paccar,29.8,232.0,594.7,1979
Aeroquip-Vickers,52.6,233.0,594.4,1979
Eltra,25.6,234.0,583.4,1979
Castle & Cooke,15.0,235.0,578.2,1979
Williams,38.0,236.0,577.9,1979
Northrop Grumman,11.1,237.0,573.7,1979
Allegheny International,17.7,238.0,571.7,1979
Akzona,23.2,239.0,571.5,1979
Brown Shoe,22.8,240.0,567.1,1979
Loews,69.6,241.0,566.3,1979
Polaroid,42.5,242.0,559.3,1979
Container Corp. of America,19.6,243.0,558.8,1979
Lear Siegler,11.8,244.0,556.7,1979
Fruehauf,26.8,245.0,550.4,1979
Cluett Peabody,13.7,246.0,547.2,1979
Stauffer Chemical,33.5,247.0,542.6,1979
Chromalloy American,20.4,248.0,541.1,1979
Scovill,17.5,249.0,537.3,1979
Lever Brothers,12.7,250.0,527.1,1979
Abbott Laboratories,39.4,251.0,521.8,1979
Cummins,8.2,252.0,521.1,1979
National Gypsum,30.6,253.0,519.0,1979
Kayser-Roth,12.0,254.0,519.0,1979
BOC,2.0,255.0,518.0,1979
Indian Head,8.3,256.0,513.6,1979
American Beef Packers,1.1,257.0,511.7,1979
Pharmacia,46.5,258.0,511.3,1979
Schering-Plough,77.3,259.0,504.2,1979
Levi Strauss,25.0,260.0,504.1,1979
Warner Communications,50.1,261.0,498.6,1979
Universal Leaf Tobacco,8.9,262.0,498.4,1979
A.O. Smith,9.9,263.0,492.8,1979
Foster Wheeler,6.7,264.0,491.7,1979
Imcera Group,20.3,265.0,491.2,1979
Crown Holdings,31.2,266.0,488.9,1979
Hewlett-Packard,38.5,267.0,479.1,1979
National Can,14.1,268.0,475.7,1979
Universal Oil Products,12.6,269.0,473.1,1979
Westvaco,13.1,270.0,472.0,1979
Gould,19.5,271.0,471.3,1979
Timken,42.3,272.0,470.8,1979
M. Lowenstein,6.0,273.0,470.0,1979
Admiral,15.4,274.0,468.8,1979
USM,-7.5,275.0,464.4,1979
Lone Star Industries,24.1,276.0,463.4,1979
Di Giorgio,9.0,277.0,459.8,1979
Hoover,29.5,278.0,458.4,1979
Intl. Multifoods,8.6,279.0,457.5,1979
Gold Kist Holdings,N.A.,280.0,454.5,1979
Kelsey-Hayes,7.4,281.0,453.7,1979
Sunbeam/Oster,18.3,282.0,453.2,1979
National Industries,3.3,283.0,452.5,1979
Kaiser Steel,-8.8,284.0,447.2,1979
Richardson-Vicks,36.7,285.0,446.5,1979
Pennwalt Corp,16.1,286.0,441.0,1979
Revlon,37.7,287.0,441.0,1979
Flintkote,20.0,288.0,440.6,1979
AM International,16.6,289.0,435.7,1979
Metromedia International,18.1,290.0,434.0,1979
Mohasco,14.7,291.0,431.2,1979
McGraw-Hill,22.6,292.0,430.1,1979
Bemis,9.8,293.0,427.6,1979
Kane-Miller,3.5,294.0,424.5,1979
Hartmarx,14.2,295.0,423.1,1979
Hershey Foods,20.6,296.0,416.2,1979
Ward Foods,-20.0,297.0,414.5,1979
Cyclops Industries,7.7,298.0,414.0,1979
Great Northern Nekoosa,18.2,299.0,409.8,1979
Tecumseh Products,23.5,300.0,408.6,1979
WestPoint Stevens,10.2,301.0,408.2,1979
"Libby, McNeill & Libby",-0.5,302.0,407.2,1979
US Pharmaceuticals,48.9,303.0,402.3,1979
Stanley Works,19.9,304.0,399.0,1979
Springs Industries,13.2,305.0,398.9,1979
MBPXL,2.4,306.0,395.7,1979
Hammermill Paper,3.5,307.0,394.7,1979
Outboard Marine,30.5,308.0,394.1,1979
MacMillan,14.9,309.0,393.9,1979
Certainteed,26.5,310.0,392.6,1979
National Service Industries,22.3,311.0,392.0,1979
Revere Copper & Brass,-9.4,312.0,390.9,1979
Interlake,13.0,313.0,387.7,1979
Figgie International,8.8,314.0,381.6,1979
I-T-E Imperial,17.6,315.0,377.6,1979
Potlatch,16.6,316.0,377.4,1979
Norton,14.5,317.0,374.4,1979
U.S. Shoe,12.8,318.0,372.3,1979
Campbell Taggart,11.9,319.0,371.1,1979
Harris,13.8,320.0,370.9,1979
Hygrade Food Products,5.0,321.0,369.9,1979
GK Technologies,15.2,322.0,369.7,1979
Spencer Foods,-0.5,323.0,368.4,1979
Thiokol,24.4,324.0,367.8,1979
Champion Spark Plug,39.8,325.0,367.4,1979
Dan River,5.1,326.0,366.6,1979
Bell & Howell,16.4,327.0,365.3,1979
Purex Industries,15.2,328.0,363.7,1979
Allied Mills,2.0,329.0,363.6,1979
Rexnord,13.3,330.0,363.6,1979
Dairylea Cooperative,N.A.,331.0,358.5,1979
Avnet,16.0,332.0,357.6,1979
Inmont,8.3,333.0,357.1,1979
Apogent Technologies,23.3,334.0,356.3,1979
CBI Industries,32.9,335.0,354.3,1979
R.R. Donnelley & Sons,26.1,336.0,353.6,1979
Cannon Mills,16.4,337.0,353.4,1979
Fairmont Foods,-1.1,338.0,353.3,1979
Harsco,17.2,339.0,352.0,1979
UV Industries,11.1,340.0,351.3,1979
Air Products & Chem.,18.3,341.0,351.2,1979
Chesebrough-Pond's,26.9,342.0,350.8,1979
Thomas J. Lipton,18.9,343.0,347.6,1979
MCA,20.9,344.0,346.0,1979
General Signal,16.4,345.0,345.8,1979
Black & Decker,26.6,346.0,345.7,1979
Congoleum,23.4,347.0,345.2,1979
Blue Bell,15.0,348.0,344.4,1979
ACF Industries,19.0,349.0,343.7,1979
Simmons,13.3,350.0,342.6,1979
Pitney Bowes,13.6,351.0,342.1,1979
Dayco,5.7,352.0,341.5,1979
NVF,8.8,353.0,341.4,1979
Anchor Hocking,20.7,354.0,340.3,1979
Square D,35.1,355.0,340.3,1979
Carborundum,16.3,356.0,339.9,1979
Reliance Electric,13.6,357.0,338.8,1979
Insilco,12.0,358.0,338.3,1979
Southwest Forest Industries,9.3,359.0,338.1,1979
Staley Continental,6.4,360.0,336.1,1979
Pabst Brewing,27.9,361.0,335.6,1979
Saxon Industries,8.8,362.0,335.3,1979
Questor,14.4,363.0,335.3,1979
Jonathan Logan,18.4,364.0,332.2,1979
ESB,11.6,365.0,331.5,1979
American Bakeries,3.0,366.0,331.4,1979
Cone Mills,8.2,367.0,331.2,1979
Eastern Gas & Fuel Associates,17.5,368.0,331.0,1979
New York Times,13.6,369.0,329.5,1979
Rockwell Manufacturing,18.8,370.0,327.8,1979
GATX,39.8,371.0,327.7,1979
Skyline,19.8,372.0,326.8,1979
Miles Laboratories,15.2,373.0,325.9,1979
Joy Technologies,14.0,374.0,323.8,1979
Chemetron,8.0,375.0,319.2,1979
Norris Industries,16.6,376.0,316.8,1979
Knight-Ridder,20.8,377.0,310.4,1979
Kellwood,6.2,378.0,307.3,1979
Amsted Industries,12.2,379.0,306.2,1979
Sundstrand,9.4,380.0,304.1,1979
Federal-Mogul,15.2,381.0,303.5,1979
AMP,33.2,382.0,302.1,1979
ConAgra Foods,3.1,383.0,301.7,1979
Howmet,24.3,384.0,301.5,1979
Fedders,7.3,385.0,300.7,1979
Commonwealth Oil Refining,3.1,386.0,299.1,1979
Stokely-Van Camp,7.2,387.0,298.5,1979
Warnaco Group,8.9,388.0,298.2,1979
